iter	RMSE
0	1.498904189
1	1.46856903
2	1.437174678
3	1.408425662
4	1.38207657
5	1.358109202
6	1.336851099
7	1.316666922
8	1.299053699
9	1.283001155
10	1.26792451
11	1.254583936
12	1.249378337
13	1.237095875
14	1.22923717
15	1.224306935
16	1.213287834
17	1.208106411
18	1.203914854
19	1.193140833
20	1.188532204
21	1.183848447
22	1.179372975
23	1.174882874
24	1.171053175
25	1.166735329
26	1.162790228
27	1.152519574
28	1.148147979
29	1.144337981
30	1.140382543
31	1.13596159
32	1.13191996
33	1.123702436
34	1.119687485
35	1.115951489
36	1.112052798
37	1.10872441
38	1.105030081
39	1.101585127
40	1.098075475
41	1.090051671
42	1.086246832
43	1.082769896
44	1.079412828
45	1.075652578
46	1.072285723
47	1.068935934
48	1.065906919
49	1.062034327
50	1.058588876
51	1.055631764
52	1.052228562
53	1.048876519
54	1.045554766
55	1.042648448
56	1.039601019
57	1.036407435
58	1.030791051
59	1.027448518
60	1.023966028
61	1.021099537
62	1.018025334
63	1.015248355
64	1.012128268
65	1.00930495
66	1.006165208
67	1.003034657
68	1.000009626
69	0.9970422056
70	0.9940793581
71	0.991465318
72	0.9886026893
73	0.9856564496
74	0.9828393604
75	0.9800951674
76	0.9771475813
77	0.9743220224
78	0.9714233521
79	0.9683941199
80	0.9656323327
81	0.9630078743
82	0.9603572588
83	0.9577208975
84	0.9548799909
85	0.9520873951
86	0.9494832418
87	0.9433426877
88	0.9407255132
89	0.9380284977
90	0.9354194953
91	0.9329641276
92	0.9267559794
93	0.9242303146
94	0.9216196981
95	0.9188541076
96	0.9163995209
97	0.9138926741
98	0.9115151987
99	0.9091474967
100	0.9067212979
101	0.9040438357
102	0.9018952175
103	0.8996338371
104	0.8975243971
105	0.8950679419
106	0.8926631447
107	0.8906912304
108	0.8887137795
109	0.8863594799
110	0.8840746218
111	0.8818845119
112	0.8768827255
113	0.8743881105
114	0.8722578327
115	0.870142217
116	0.8678541631
117	0.8656986665
118	0.863602464
119	0.861143818
120	0.8590415513
121	0.8568864802
122	0.8546835358
123	0.852698185
124	0.8505331994
125	0.8485100679
126	0.8463266838
127	0.8441566271
128	0.8392908976
129	0.8373414494
130	0.83529012
131	0.8331254703
132	0.8310011084
133	0.8288690373
134	0.8268848307
135	0.8249062258
136	0.8227470279
137	0.8181879298
138	0.8161326216
139	0.8140344576
140	0.8120763844
141	0.81021061
142	0.8082034383
143	0.8061067792
144	0.8041092618
145	0.8021454366
146	0.8004465933
147	0.7986684903
148	0.7967969061
149	0.7949560155
150	0.7930839087
151	0.7912093696
152	0.7892571712
153	0.787514184
154	0.7856744654
155	0.7838283175
156	0.7820193135
157	0.7800896621
158	0.7782460137
159	0.7742843885
160	0.772390019
161	0.7704823495
162	0.7686381061
163	0.7667119263
164	0.7649217521
165	0.7631606601
166	0.7613389891
167	0.7595196555
168	0.754831235
169	0.7530538743
170	0.7512196757
171	0.7494487133
172	0.7477031477
173	0.745941333
174	0.7441227827
175	0.7424529582
176	0.7406347749
177	0.7388458396
178	0.7371306791
179	0.7354041012
180	0.7336497741
181	0.7318776236
182	0.7300761978
183	0.7281086192
184	0.7264939867
185	0.7248344733
186	0.72298549
187	0.7211812602
