iter	Passed	Remaining
0	4	4786
1	9	4973
2	13	4644
3	17	4340
4	21	4185
5	27	4622
6	31	4519
7	35	4419
8	39	4369
9	45	4468
10	50	4537
11	55	4556
12	60	4621
13	65	4592
14	69	4533
15	73	4517
16	78	4548
17	82	4524
18	88	4553
19	92	4529
20	96	4498
21	100	4479
22	105	4480
23	109	4435
24	112	4394
25	116	4351
26	120	4327
27	123	4284
28	126	4241
29	129	4201
30	133	4179
31	137	4151
32	140	4111
33	143	4072
34	146	4044
35	150	4030
36	154	4016
37	157	3996
38	160	3962
39	163	3935
40	167	3912
41	170	3881
42	173	3852
43	175	3822
44	178	3793
45	182	3775
46	185	3757
47	187	3728
48	191	3715
49	195	3715
50	199	3709
51	203	3707
52	206	3692
53	209	3675
54	213	3662
55	217	3672
56	221	3667
57	225	3655
58	228	3643
59	232	3641
60	237	3656
61	241	3656
62	247	3679
63	252	3699
64	257	3700
65	261	3703
66	266	3712
67	270	3713
68	275	3715
69	279	3717
70	284	3716
71	287	3710
72	291	3704
73	296	3714
74	302	3736
75	309	3760
76	314	3766
77	319	3781
78	324	3786
79	331	3808
80	336	3817
81	345	3863
82	353	3901
83	359	3916
84	365	3930
85	370	3939
86	374	3930
87	378	3920
88	382	3910
89	385	3901
90	390	3896
91	394	3895
92	399	3895
93	403	3885
94	407	3882
95	411	3876
96	417	3884
97	421	3880
98	426	3882
99	432	3889
100	438	3899
101	443	3902
102	447	3899
103	451	3891
104	455	3884
105	461	3891
106	468	3907
107	477	3942
108	483	3955
109	491	3975
110	499	3997
111	504	4002
112	508	3994
113	513	3988
114	516	3977
115	520	3969
116	526	3972
117	532	3981
118	539	3996
119	550	4033
120	555	4033
121	560	4031
122	565	4032
123	571	4034
124	575	4028
125	580	4026
126	587	4035
127	593	4046
128	601	4059
129	605	4051
130	609	4043
131	614	4038
132	618	4032
133	622	4025
134	629	4035
135	636	4046
136	646	4070
137	651	4070
138	660	4088
139	665	4087
140	672	4094
141	678	4098
142	684	4102
143	690	4105
144	694	4097
145	699	4090
146	705	4091
147	710	4092
148	715	4086
149	719	4079
150	724	4072
151	728	4064
152	734	4065
153	740	4069
154	746	4070
155	752	4072
156	757	4067
157	761	4059
158	766	4053
159	771	4047
160	776	4044
161	781	4043
162	786	4038
163	790	4031
164	794	4021
165	798	4012
166	802	4004
167	806	3994
168	810	3984
169	814	3975
170	818	3968
171	822	3958
172	826	3949
173	830	3941
174	835	3937
175	838	3925
176	841	3914
177	845	3903
178	849	3896
179	853	3887
180	857	3878
181	860	3866
182	864	3858
183	867	3846
184	870	3836
185	874	3825
186	877	3815
187	881	3807
188	885	3801
189	889	3790
190	892	3779
191	895	3769
192	899	3760
193	902	3749
194	905	3737
195	908	3728
196	912	3717
197	915	3707
198	918	3696
199	921	3685
200	924	3675
201	928	3666
202	931	3658
203	935	3648
204	938	3638
205	941	3627
206	944	3618
207	947	3608
208	950	3597
209	953	3587
210	956	3575
211	959	3566
212	962	3555
213	965	3544
214	967	3533
215	970	3523
216	974	3514
217	977	3506
218	980	3497
219	983	3487
220	986	3477
221	989	3467
222	992	3458
223	995	3449
224	999	3441
225	1002	3433
226	1005	3425
227	1009	3418
228	1013	3412
229	1016	3404
230	1020	3396
231	1024	3392
232	1029	3388
233	1032	3381
234	1036	3373
235	1039	3365
236	1042	3357
237	1047	3352
238	1050	3346
239	1054	3339
240	1058	3334
241	1063	3331
242	1069	3330
243	1074	3329
