Trial 0, Params: {'learning_rate': 0.0015289515889136956, 'depth': 3, 'colsample_bylevel': 0.5577333590408435, 'min_data_in_leaf': 46, 'l2_leaf_reg': 3.2346897960612346, 'grow_policy': 'Lossguide'}, Value: 0.20178539247962304
Trial 1, Params: {'learning_rate': 0.025493400049038457, 'depth': 8, 'colsample_bylevel': 0.8204701129856476, 'min_data_in_leaf': 20, 'l2_leaf_reg': 1.6577195250123706, 'grow_policy': 'Depthwise'}, Value: 0.7505537585696642
Trial 2, Params: {'learning_rate': 0.003654895588602154, 'depth': 8, 'colsample_bylevel': 0.2577943795994285, 'min_data_in_leaf': 12, 'l2_leaf_reg': 9.424480375294163, 'grow_policy': 'Lossguide'}, Value: 0.3618391680190474
Trial 3, Params: {'learning_rate': 0.0014791183120914692, 'depth': 4, 'colsample_bylevel': 0.8400252274157843, 'min_data_in_leaf': 15, 'l2_leaf_reg': 3.458482950817369, 'grow_policy': 'Depthwise'}, Value: 0.29861155675625356
Trial 4, Params: {'learning_rate': 0.00418825374249319, 'depth': 10, 'colsample_bylevel': 0.6364303643297419, 'min_data_in_leaf': 32, 'l2_leaf_reg': 7.16937204530484, 'grow_policy': 'Lossguide'}, Value: 0.4302549460676782
Trial 5, Params: {'learning_rate': 0.028743810102635565, 'depth': 9, 'colsample_bylevel': 0.6863764543702946, 'min_data_in_leaf': 16, 'l2_leaf_reg': 5.6601200197238715, 'grow_policy': 'Depthwise'}, Value: 0.7440233518051185
Trial 6, Params: {'learning_rate': 0.0031031196146989355, 'depth': 3, 'colsample_bylevel': 0.588086940294771, 'min_data_in_leaf': 18, 'l2_leaf_reg': 9.78749229369311, 'grow_policy': 'Depthwise'}, Value: 0.2835730604502739
Trial 7, Params: {'learning_rate': 0.015513556805840812, 'depth': 10, 'colsample_bylevel': 0.8813094353452772, 'min_data_in_leaf': 4, 'l2_leaf_reg': 14.08674555828881, 'grow_policy': 'Depthwise'}, Value: 0.6438206180366266
Trial 8, Params: {'learning_rate': 0.03208704653086531, 'depth': 6, 'colsample_bylevel': 0.01909005642637658, 'min_data_in_leaf': 37, 'l2_leaf_reg': 8.672828938969834, 'grow_policy': 'Depthwise'}, Value: 0.3778662877368705
Trial 9, Params: {'learning_rate': 0.034219180032610486, 'depth': 5, 'colsample_bylevel': 0.05060771433176224, 'min_data_in_leaf': 48, 'l2_leaf_reg': 1.5475025222686836, 'grow_policy': 'Depthwise'}, Value: 0.6065001123220164
Trial 10, Params: {'learning_rate': 0.09336168181513976, 'depth': 7, 'colsample_bylevel': 0.9809917696882535, 'min_data_in_leaf': 33, 'l2_leaf_reg': 1.3033224848172438, 'grow_policy': 'Lossguide'}, Value: 0.8092816576938654
Trial 11, Params: {'learning_rate': 0.09350306722673683, 'depth': 7, 'colsample_bylevel': 0.9880582234896376, 'min_data_in_leaf': 28, 'l2_leaf_reg': 1.077093675456523, 'grow_policy': 'Lossguide'}, Value: 0.8077086529337871
