Trial 0, Params: {'learning_rate': 0.001139778634059735, 'depth': 6, 'colsample_bylevel': 0.27859587653777873, 'min_data_in_leaf': 92, 'l2_leaf_reg': 1.960072468996326, 'grow_policy': 'Depthwise'}, Value: 0.2120176037740107
Trial 1, Params: {'learning_rate': 0.004836908647490042, 'depth': 10, 'colsample_bylevel': 0.44664995522023576, 'min_data_in_leaf': 74, 'l2_leaf_reg': 2.0496285160246988, 'grow_policy': 'Depthwise'}, Value: 0.5057545648983741
Trial 2, Params: {'learning_rate': 0.055364903529934485, 'depth': 10, 'colsample_bylevel': 0.3900067816151601, 'min_data_in_leaf': 49, 'l2_leaf_reg': 19.064752259612046, 'grow_policy': 'Depthwise'}, Value: 0.7632402061093547
Trial 3, Params: {'learning_rate': 0.007159249200743349, 'depth': 9, 'colsample_bylevel': 0.7211080107739789, 'min_data_in_leaf': 68, 'l2_leaf_reg': 5.986581414436492, 'grow_policy': 'Lossguide'}, Value: 0.5079672978622578
Trial 4, Params: {'learning_rate': 0.018501838622057735, 'depth': 5, 'colsample_bylevel': 0.09320164607271268, 'min_data_in_leaf': 82, 'l2_leaf_reg': 4.084933713139004, 'grow_policy': 'SymmetricTree'}, Value: 0.5355573214935687
Trial 5, Params: {'learning_rate': 0.002089585773596147, 'depth': 6, 'colsample_bylevel': 0.8089086854119706, 'min_data_in_leaf': 60, 'l2_leaf_reg': 4.032139800206274, 'grow_policy': 'SymmetricTree'}, Value: 0.3674317370453383
Trial 6, Params: {'learning_rate': 0.026545447843098823, 'depth': 5, 'colsample_bylevel': 0.3262518418177658, 'min_data_in_leaf': 77, 'l2_leaf_reg': 2.4103087371601872, 'grow_policy': 'Lossguide'}, Value: 0.6968386647256666
Trial 7, Params: {'learning_rate': 0.0022761994751666586, 'depth': 9, 'colsample_bylevel': 0.6352335712227195, 'min_data_in_leaf': 47, 'l2_leaf_reg': 4.195233440103322, 'grow_policy': 'Depthwise'}, Value: 0.39918861973443726
Trial 8, Params: {'learning_rate': 0.014458613193048895, 'depth': 3, 'colsample_bylevel': 0.7305331168024966, 'min_data_in_leaf': 85, 'l2_leaf_reg': 2.4289033144471093, 'grow_policy': 'SymmetricTree'}, Value: 0.49024967508929873
Trial 9, Params: {'learning_rate': 0.030225868053830155, 'depth': 10, 'colsample_bylevel': 0.5453392719769035, 'min_data_in_leaf': 48, 'l2_leaf_reg': 4.6351165963974985, 'grow_policy': 'Lossguide'}, Value: 0.7407675794553162
Trial 10, Params: {'learning_rate': 0.0978364573915146, 'depth': 8, 'colsample_bylevel': 0.9627065723200379, 'min_data_in_leaf': 18, 'l2_leaf_reg': 16.60632764803506, 'grow_policy': 'Depthwise'}, Value: 0.760439865082717
Trial 11, Params: {'learning_rate': 0.07498068018488346, 'depth': 8, 'colsample_bylevel': 0.9681135539619992, 'min_data_in_leaf': 16, 'l2_leaf_reg': 19.492467720878278, 'grow_policy': 'Depthwise'}, Value: 0.7620876982275744
Trial 12, Params: {'learning_rate': 0.09751297699076854, 'depth': 8, 'colsample_bylevel': 0.9821127305849299, 'min_data_in_leaf': 13, 'l2_leaf_reg': 18.601034237441556, 'grow_policy': 'Depthwise'}, Value: 0.7597434266844763
Trial 13, Params: {'learning_rate': 0.047796785251339076, 'depth': 8, 'colsample_bylevel': 0.023812789438131476, 'min_data_in_leaf': 27, 'l2_leaf_reg': 10.058878521884019, 'grow_policy': 'Depthwise'}, Value: 0.5198283806942329
Trial 14, Params: {'learning_rate': 0.05157051661216434, 'depth': 9, 'colsample_bylevel': 0.3738093912771075, 'min_data_in_leaf': 35, 'l2_leaf_reg': 11.031569852934814, 'grow_policy': 'Depthwise'}, Value: 0.7564770529498179
Trial 0, Params: {'learning_rate': 0.07958142712473089, 'depth': 4, 'colsample_bylevel': 0.5624594566964212, 'min_data_in_leaf': 16, 'l2_leaf_reg': 5.600412505186722, 'grow_policy': 'Lossguide'}, Value: 0.5687074902365309
Trial 1, Params: {'learning_rate': 0.09814974949931685, 'depth': 4, 'colsample_bylevel': 0.6108036596903965, 'min_data_in_leaf': 66, 'l2_leaf_reg': 6.096141293492067, 'grow_policy': 'Depthwise'}, Value: 0.6118404848638961
Trial 2, Params: {'learning_rate': 0.039951311739138275, 'depth': 5, 'colsample_bylevel': 0.13971664624947994, 'min_data_in_leaf': 85, 'l2_leaf_reg': 8.97286098287751, 'grow_policy': 'Depthwise'}, Value: 0.4117077709744047
Trial 3, Params: {'learning_rate': 0.002195440123074316, 'depth': 7, 'colsample_bylevel': 0.6165978954338457, 'min_data_in_leaf': 88, 'l2_leaf_reg': 1.5344656315291128, 'grow_policy': 'Lossguide'}, Value: 0.1451963000610465
Trial 4, Params: {'learning_rate': 0.05550269193549033, 'depth': 4, 'colsample_bylevel': 0.04840032092050843, 'min_data_in_leaf': 41, 'l2_leaf_reg': 1.768049799230184, 'grow_policy': 'Lossguide'}, Value: 0.31246025563567603
Trial 5, Params: {'learning_rate': 0.02669603815170808, 'depth': 3, 'colsample_bylevel': 0.2833506532216562, 'min_data_in_leaf': 46, 'l2_leaf_reg': 4.0413505324686625, 'grow_policy': 'SymmetricTree'}, Value: 0.30614798071749744
Trial 6, Params: {'learning_rate': 0.0019326970576487759, 'depth': 3, 'colsample_bylevel': 0.2360591887549789, 'min_data_in_leaf': 56, 'l2_leaf_reg': 13.981689765084326, 'grow_policy': 'Lossguide'}, Value: 0.03888619755519358
